Date,Symbol,Side,EntryPrice,SLPrice,Qty,PnL,GapPct,OpenBias,ExitReason,Duration
2025-12-01,HEROMOTOCO,BUY,6290.50,6253.45,5,47.50,0.48,NEUTRAL,EOD_AUTO_EXIT,350min
2025-12-01,TATACONSUM,SELL,1163.00,1168.32,29,-154.32,0.06,NEUTRAL,STOPLOSS,95min
2025-12-02,DRREDDY,BUY,1268.50,1264.40,26,66.00,0.06,LONG,STAGE1_0.5R+STAGE2_1R+STOPLOSS,15min
2025-12-03,ADANIENT,SELL,2232.20,2238.00,15,111.76,0.04,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,75min
2025-12-03,TCS,BUY,3180.10,3166.54,10,207.38,0.11,LONG,STAGE1_0.5R+STAGE2_1R+STOPLOSS,110min
2025-12-04,ADANIENT,BUY,2213.60,2197.93,15,97.20,-0.16,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,90min
2025-12-04,MARUTI,BUY,16117.00,16087.19,2,-59.62,-0.11,NEUTRAL,STOPLOSS,25min
2025-12-05,HEROMOTOCO,BUY,6360.00,6336.00,5,-120.00,-0.09,NEUTRAL,STOPLOSS,60min
2025-12-08,ADANIENT,SELL,2241.10,2253.19,15,-181.35,0.11,NEUTRAL,STOPLOSS,20min
2025-12-08,ICICIBANK,BUY,1391.90,1386.98,24,-118.19,-0.23,NEUTRAL,STOPLOSS,200min
2025-12-09,TATACONSUM,SELL,1132.50,1137.77,30,-158.14,-0.38,NEUTRAL,STOPLOSS,20min
2025-12-10,DRREDDY,BUY,1253.40,1250.77,27,156.20,0.10,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STAGE3_2R,35min
2025-12-10,ITC,BUY,394.85,393.95,86,38.00,-0.04,LONG,STAGE1_0.5R+STAGE2_1R+STOPLOSS,70min
2025-12-11,HEROMOTOCO,BUY,5975.50,5940.00,5,5.00,0.24,NEUTRAL,EOD_AUTO_EXIT,355min
2025-12-11,ICICIBANK,SELL,1356.70,1361.18,25,-111.91,-0.06,NEUTRAL,STOPLOSS,55min
2025-12-12,ITC,SELL,393.40,394.35,86,38.00,-0.06,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,110min
2025-12-15,ADANIENT,BUY,2295.00,2284.00,14,-154.00,-0.07,NEUTRAL,STOPLOSS,25min
2025-12-16,ADANIENT,SELL,2248.60,2261.63,15,-195.50,-0.27,NEUTRAL,STOPLOSS,10min
2025-12-16,HEROMOTOCO,BUY,5976.00,5954.81,5,-105.97,0.14,NEUTRAL,STOPLOSS,10min
2025-12-19,MARUTI,BUY,16405.00,16378.00,2,-54.00,0.14,LONG,STOPLOSS,5min
2025-12-22,ICICIBANK,BUY,1364.50,1360.63,24,-92.87,0.02,NEUTRAL,STOPLOSS,30min
2025-12-22,TECHM,BUY,1637.40,1628.20,20,189.90,0.43,LONG,STAGE1_0.5R+STAGE2_1R+STAGE3_EOD,310min
2025-12-23,HDFCBANK,BUY,993.10,990.72,34,118.76,0.32,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,275min
2025-12-23,ITC,BUY,395.65,394.65,85,130.86,-0.10,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,290min
2025-12-24,DRREDDY,SELL,1270.40,1276.54,26,282.96,-0.11,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,35min
2025-12-24,HEROMOTOCO,SELL,5720.00,5730.18,5,-50.91,0.03,NEUTRAL,STOPLOSS,5min
2025-12-26,HEROMOTOCO,SELL,5677.00,5695.50,5,100.50,-0.06,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,125min
2025-12-26,ITC,SELL,396.70,397.35,85,26.60,-0.10,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,250min
2025-12-29,MARUTI,BUY,16674.00,16643.33,2,-61.34,0.15,LONG,STOPLOSS,15min
2025-12-29,TCS,SELL,3261.00,3271.24,10,123.51,0.09,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,295min
2025-12-30,ADANIENT,BUY,2209.40,2203.40,15,-90.00,0.17,NEUTRAL,STOPLOSS,5min
2025-12-30,HEROMOTOCO,BUY,5678.00,5626.34,5,160.00,-0.06,LONG,STAGE1_0.5R+STAGE2_1R+STAGE3_EOD,340min
2025-12-31,ITC,BUY,394.10,393.64,86,59.59,0.00,LONG,STAGE1_0.5R+STAGE2_1R+STOPLOSS,170min
2025-12-31,TATACONSUM,BUY,1184.10,1178.00,28,224.59,0.44,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,280min
2026-01-01,TATACONSUM,SELL,1184.40,1188.79,28,58.80,0.00,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,45min
2026-01-01,TECHM,BUY,1599.90,1590.20,21,213.90,0.00,LONG,STAGE1_0.5R+STAGE2_1R+STAGE3_EOD,330min
2026-01-02,ADANIENT,BUY,2272.60,2265.50,14,-99.40,0.22,LONG,STOPLOSS,60min
2026-01-02,HDFCBANK,BUY,998.80,996.16,34,-89.63,0.00,NEUTRAL,STOPLOSS,20min
2026-01-05,HEROMOTOCO,BUY,5996.50,5972.86,5,58.00,0.46,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,90min
2026-01-05,ITC,BUY,345.65,343.15,98,-245.16,0.03,NEUTRAL,STOPLOSS,160min
2026-01-06,ICICIBANK,BUY,1412.30,1397.64,24,-57.60,0.00,LONG,EOD_AUTO_EXIT,300min
2026-01-07,DRREDDY,BUY,1261.10,1255.26,26,-151.87,-0.19,NEUTRAL,STOPLOSS,85min
2026-01-07,ICICIBANK,BUY,1416.00,1411.18,24,191.16,-0.13,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,60min
2026-01-08,ICICIBANK,BUY,1439.70,1436.63,23,-70.59,0.24,NEUTRAL,STOPLOSS,10min
2026-01-08,ITC,SELL,333.35,333.98,101,-63.39,-0.13,NEUTRAL,STOPLOSS,50min
2026-01-09,HEROMOTOCO,SELL,5826.50,5841.52,5,77.22,0.09,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,60min
2026-01-09,MARUTI,SELL,16513.00,16606.93,2,36.00,0.14,NEUTRAL,EOD_AUTO_EXIT,310min
